index;title;description;protocol;y_true
31;inhibition of human recombinant maob expressed in baculovirus infected bti-tn-5b1-4 insect cell assessed a hydrogen peroxide production from p-tyramine by amplex red assay;title : synthesis , semipreparative hplc separation , biological evaluation , and 3d-qsar of hydrazothiazole derivative a human monoamine oxidase b inhibitor . abstract : the present study report on synthesis in high yield ( 70-99 % ) , hplc enantioseparation , inhibitory activity against human monoamino oxidase , and molecular modeling including 3d-qsar study , of a large series of ( 4-aryl-thiazol-2-yl ) hydrazones ( 1-45 ) . most of the synthesized compound proved to be potent and selective inhibitor of hmao-b isoform in the micromolar or nanomolar range , thus demonstrating that hydrazothiazole could be considered a good pharmacophore to design new hmao-b inhibitor . due to the presence in some derivative of a chiral center , we also performed a semipreparative chromatographic enantioseparation of these compound obtained by a stereoconservative pattern . the separated enantiomer were submitted to in vitro biological evaluation to point out the stereorecognition of the active site of the enzyme towards these structure . finally , a 3d-qsar study wa carried out using comparative molecular field analysis ( comfa ) , aiming to deduce rational guideline for the further structural modification of these lead compound .;;-1.0
32;inhibition of human recombinant sphk1 expressed in baculovirus-infected sf9 cell;title : development of amidine-based sphingosine kinase 1 nanomolar inhibitor and reduction of sphingosine 1-phosphate in human leukemia cell . abstract : sphingosine 1-phosphate ( s1p ) is a bioactive lipid that ha been identified a an accelerant of cancer progression . the sphingosine kinase ( sphks ) are the sole producer of s1p , and thus , sphk inhibitor may prove effective in cancer mitigation and chemosensitization . of the two sphks , sphk1 overexpression ha been observed in a myriad of cancer cell line and tissue and ha been recognized a the presumptive target over that of the poorly characterized sphk2 . herein , we present the design and synthesis of amidine-based nanomolar sphk1 subtype-selective inhibitor . a homology model of sphk1 , trained with this library of amidine inhibitor , wa then used to predict the activity of additional , more potent , inhibitor . lastly , select amidine inhibitor were validated in human leukemia u937 cell , where they significantly reduced endogenous s1p level at nanomolar concentration .;;-1.0
33;inhibition of human clk2 incubated for 2 hr;title : discovery of 5- ( 3-chlorophenylamino ) benzo [ < i > c < /i > ] [ 2,6 ] naphthyridine derivative a highly selective ck2 inhibitor with potent cancer cell stemness inhibition . abstract : multifunctional entity have recently been attractive for the development of anticancer chemotherapeutic drug . however , such entity with concurrent ck2 along with cancer stem cell ( csc ) inhibitory activity are rare in a single small molecule . herein , a series of 5- ( 3-chlorophenylamino ) benzo [ < i > c < /i > ] [ 2,6 ] naphthyridine derivative were synthesized using a known ck2 inhibitor , silmitasertib ( < b > cx-4945 < /b > ) , a the lead compound . among the resulting compound , < b > 1c < /b > exhibited stronger ck2 inhibitory activity with higher clk2/ck2 selectivity than < b > cx-4945 < /b > . significantly , < b > 1c < /b > could modulate the akt1 ( ser129 ) -gsk-3β ( ser9 ) -wnt/β-catenin signaling pathway and inhibit the expression of the stemness marker aldh1a1 , csc surface antigen , and stem gene , showing potent csc inhibitory activity . moreover , < b > 1c < /b > also displayed superior pharmacokinetics and antitumor activity compared with < b > cx-4945 < /b > sodium salt , without obvious toxicity . the favorable antiproliferative and antitumor activity of < b > 1c < /b > , it high inhibitory selectivity for ck2 , and it potent inhibition of cancer cell stemness make this molecule a candidate for the treatment of cancer .;;-1.0
34;inhibition of aminopeptidase n;title : novel cyclic-imide peptidomimetics a aminopeptidase n inhibitor . structure-based design , chemistry and activity evaluation . ii . abstract : a novel class of potent aminopeptidase n inhibitor with 3-amino-cyclic-imide scaffold is described . the preliminary biological test revealed that all the compound displayed high specific inhibitory activity against aminopeptidase n compared with previous work because of the existence of free amino group . compound containing hydroxamate group are more potent than carboxyl and ester derivative . compound 13f potentially inhibited apn activity with ic ( 50 ) value of 1.8 microm and displayed specific activity profile in cell assay and in vivo anti-metastasis assay .;;-1.0
35;percent inhibition of cell division cycle 25b at 50 um;title : inhibition of cdc25 phosphatase by indolyldihydroxyquinones . abstract : overexpression of the cdc25a and cdc25b dual-specificity phosphatase correlate with a wide variety of cancer , making the cdc25s attractive drug target for anticancer therapy . however , the search for good lead molecule ha been hampered by the reactivity of the active site thiolate anion and the flat solvent-exposed active site region . we describe here the indolyldihydroxyquinones , a new class of inhibitor of cdc25 that bind reversibly to the active site with submicromolar potency . structure-activity relationship in the 50 derivative of the lead molecule 2,5-dihydroxy-3- ( 1h-indol-3-yl ) [ 1,4 ] benzoquinone show interesting and consistent trend identifying feature required for inhibition of all three isoforms of cdc25 . the compound do not show time-dependent inhibition , indicating that they form neither covalent adduct with nor oxidize the active site thiol . our best compound , 2,5-dihydroxy-3- ( 7-farnesyl-1h-indol-3-yl ) [ 1,4 ] benzoquinone and 2,5-dihydroxy-3- ( 4,6-dichloro-7-farnesyl-1h-indol-3-yl ) [ 1,4 ] benzoquinone , are competitive with substrate for the active site and yield k ( i ) s of 640 and 470 nm , respectively . binding of the indolylhydroxyquinones is diminished by three , but not by six other , specific mutation in the active site region . additionally , the flexible c-terminal tail required for binding of protein substrate is also required for binding derivative with hydrophobic modification at the 7-position . the indolyldihydroxyquinones compete effectively with the protein substrate for cdc25 in vitro and lead to rapid cell death in vivo . thus , the indolyldihydroxyquinones will serve a useful lead molecule for drug discovery and further cell-based study on the role of cdc25s in cell cycle control .;;-1.0
36;evaluated for the ability to displace [ 125i ] - heat from human cloned alpha-1d adrenergic receptor stably expressed in hek cell .;title : in vitro and in vivo evaluation of dihydropyrimidinone c-5 amide a potent and selective alpha ( 1a ) receptor antagonist for the treatment of benign prostatic hyperplasia . abstract : alpha ( 1 ) adrenergic receptor mediate both vascular and lower urinary tract tone , and alpha ( 1 ) receptor antagonist such a terazosin ( 1b ) are used to treat both hypertension and benign prostatic hyperplasia ( bph ) . recently , three different subtypes of this receptor have been identified , with the alpha ( 1a ) receptor being most prevalent in lower urinary tract tissue . this paper explores 4-aryldihydropyrimidinones attached to an aminopropyl-4-arylpiperidine via a c-5 amide a selective alpha ( 1a ) receptor subtype antagonist . in receptor binding assay , these type of compound generally display k ( i ) value for the alpha ( 1a ) receptor subtype < 1 nm while being greater than 100-fold selective versus the alpha ( 1b ) and alpha ( 1d ) receptor subtypes . many of these compound were also evaluated in vivo and found to be more potent than terazosin in both a rat model of prostate tone and a dog model of intra-urethral pressure without significantly affecting blood pressure . while many of the compound tested displayed poor pharmacokinetics , compound 48 wa found to have adequate bioavailability ( > 20 % ) and half-life ( > 6 h ) in both rat and dog . due to it selectivity for the alpha ( 1a ) over the alpha ( 1b ) and alpha ( 1d ) receptor a well a it favorable pharmacokinetic profile , 48 ha the potential to relieve the symptom of bph without eliciting effect on the cardiovascular system .;;-1.0
37;equilibrium constant for the interaction between inhibitor and hiv-1 protease;title : relationship between structure and interaction kinetics for hiv-1 protease inhibitor . abstract : the interaction between hiv-1 protease and 58 structurally diverse transition-state analogue inhibitor ha been analyzed by a surface plasmon resonance based biosensor . association and dissociation rate constant and affinity were determined and displayed a k ( on ) -k ( off ) -k ( d ) map . it wa shown that different class of inhibitor fall into distinct cluster in these map . significant change in association and dissociation rate were found a a result of modifying the p1/p1 ' or p2/p2 ' side chain of a linear lead compound . similarly , cyclic urea and cyclic sulfamide inhibitor displayed different kinetic feature and the affinity of both class of cyclic compound were limited by fast dissociation rate . these result confirm that association and dissociation rate are important feature of drug-target interaction and indicate that optimization of inhibitor efficacy may be guided by aiming for high association and low dissociation rate rather than high affinity alone . the present approach thus provides a new tool for structure-interaction kinetic analysis and drug discovery .;;-1.0
38;inhibition of trypsin like activity of 26 proteasome beta 2 subunit in human u266 cell assessed a residual activity using z-lle-amc a substrate at 10 um preincubated for 1 hr followed by substrate addition and measured after 4 hr by fluorescence assay relative to control;title : synthesis and antiproteasomal activity of novel o-benzyl salicylamide-based inhibitor built from leucine and phenylalanine . abstract : inhibition of protein degradation is one of strategy for suppression of uncontrolled proliferation of cancer cell . proteolytic degradation in cell is mainly ensured by proteasome and it inhibition by bortezomib showed benefit in clinical use for the treatment of multiple myeloma . we report here the library of antiproteasomal o-benzyl salicylamides built from leucine and phenylalanine . prepared compound displayed antiproliferative activity on k562 , cem and u266 cancer cell line , ranging from high micromolar to submicromolar gi50 value . the most potent compound ( series 4 and 6 ) were further assayed for their inhibition of chymotrypsin-like protease activity of the 26 proteasome in u266 cell . the majority of compound inhibited the proteasome in mid-nanomolar concentration ( ic50 ranging from 57 to 197 nm ) and it correlated with cellular potency . in a cell based assay involving green fluorescence protein ( gfp ) fused to a short degron that is rapidly degraded by a proteasome the compound induced accumulation of gfp , visualised and quantified by live-cell imaging . level of polyubiquitinated protein in u266 cell treated by compound 4m were also analyzed by immunoblotting , revealing a typical high molecular mass smear of ubiquitin conjugate . finally , apoptotic cell death in treated u266 cell wa detected biochemically by measuring the activity of caspase 3 and 7 in lysates and by immunoblotting of caspase 7 , it substrate poly ( adp-ribose ) polymerase , and mcl-1 , which all together showed change typical for apoptosis . all these observation were in agreement with expected cellular mechanism of action and confirmed proteasome targeting by prepared o-benzyl salicylamides .;;-1.0
39;reversible inhibition of human tgase 2 assessed a ratio of kinact/ki using z-glu ( hmc ) -gly-oh a substrate measured at 20 sec interval over 900 sec by fluorimetric assay;title : nε-acryloyllysine piperazides a irreversible inhibitor of transglutaminase 2 : synthesis , structure-activity relationship , and pharmacokinetic profiling . abstract : transglutaminase 2 ( tgase 2 ) -catalyzed transamidation represents an important post-translational mechanism for protein modification with implication in physiological and pathophysiological condition , including fibrotic and neoplastic process . consequently , this enzyme is considered a promising target for the diagnosis of and therapy for these disease . in this study , we report on the synthesis and kinetic characterization of nε-acryloyllysine piperazides a irreversible inhibitor of tgase 2. systematic structural modification on 54 new compound were performed with a major focus on fluorine-bearing substituents due to the potential of such compound to serve a radiotracer candidate for positron emission tomography . the determined inhibitory activity ranged from 100 to 10 000 m-1 s-1 , which resulted in comprehensive structure-activity relationship . structure-activity correlation using various substituent parameter accompanied by covalent docking study provide an advanced understanding of the molecular recognition for this inhibitor class within the active site of tgase 2. selectivity profiling of selected compound for other transglutaminases demonstrated an excellent selectivity toward transglutaminase 2. furthermore , an initial pharmacokinetic profiling of selected inhibitor wa performed , including the assessment of potential membrane permeability and liver microsomal stability .;;-1.0
40;inhibition of pyk2 assessed a reduction in peptide substrate phosphorylation by fluorimetric method;title : sulfoximine-substituted trifluoromethylpyrimidine analog a inhibitor of proline-rich tyrosine kinase 2 ( pyk2 ) show reduced herg activity . abstract : the synthesis , in vitro property , and in vivo pharmacokinetics for a series of sulfoximine-substituted trifluoromethylpyrimidines a inhibitor of proline-rich tyrosine kinase , a target for the possible treatment of osteoporosis , are described . these compound were prepared a surrogate of the corresponding sulfone compound 1. sulfone 1 wa an attractive pyk2 lead compound . however , subsequent study determined this compound possessed high dofetilide binding , which is an early indicator of cardiovascular safety . surprisingly , the corresponding sulfoximine analog displayed significantly lower dofetilide binding , which , for n-methylsulfoximine ( s ) -14a , translated to lower activity in a patch clamp herg k ( + ) ion channel screen . in addition , compound ( s ) -14a show good oral exposure in a rat pharmacokinetic model .;;-1.0
41;inhibition of recombinant human gst-tagged jak2 expressed in baculovirus expression system using z'-lyte try6 peptide a substrate incubated for 1 hr by z'-lyte assay;title : design , synthesis and evaluation of pyrrolo [ 2,3-d ] pyrimidine-phenylamide hybrid a potent janus kinase 2 inhibitor . abstract : janus kinase 2 ( jak2 ) play an essential role in the signaling of hormone-like cytokine and growth factor , which ha been convinced a an important target of myeloproliferative neoplasm ( mpns ) therapy . in this study , a series of novel pyrrolo [ 2,3-d ] pyrimidine-phenylamide hybrid were designed and synthesized a potential jak2 inhibitor through hybridization strategy . in vitro biological study showed that most of these compound exhibited potent activity against jak2 . especially , compound 16c wa identified a a suitable lead compound , which showed favorable pharmacokinetic profile in rat ( f=73.57 % ) , excellent in vitro efficacy against erythroleukemic cell ( tf-1 , ic50=0.14μm ) , and high selectivity for jak2 ( ic50=6nm with > 97-fold selectivity v jak3 ) .;;-1.0
42;competitive inhibition of human recombinant n-terminal flag-tagged ask1 expressed in baculovirus infected sf2 cell after 60 min by scintillation counting analysis in presence of [ gamma-33p ] atp;title : design and biological evaluation of imidazo [ 1,2-a ] pyridine a novel and potent ask1 inhibitor . abstract : imidazo [ 1,2-a ] pyridine derivative were designed , synthesized , and evaluated a inhibitor of the apoptosis signal-regulating kinase 1 ( ask1 ) . these were based on a benzothiazole derivative that wa discovered from high-throughput screening of our compound library . a a result , we identified potent , selective , and orally bioavailable ask1 inhibitor for wide range of therapeutic target .;;-1.0
43;binding affinity towards human cloned 5-hydroxytryptamine receptor 2c in hek293 cell , using [ 3h ] mesulergine a radioligand .;title : biarylcarbamoylindolines are novel and selective 5-ht ( 2c ) receptor inverse agonist : identification of 5-methyl-1- [ [ 2- [ ( 2-methyl-3-pyridyl ) oxy ] - 5-pyridyl ] carbamoyl ] -6-trifluoromethylindoline ( sb-243213 ) a a potential antidepressant/anxiolytic agent . abstract : the evolution , synthesis , and biological activity of a novel series of 5-ht ( 2c ) receptor inverse agonist are reported . biarylcarbamoylindolines have been identified with excellent 5-ht ( 2c ) affinity and selectivity over 5-ht ( 2a ) receptor . in addition , ( pyridyloxypyridyl ) carbamoylindolines have been discovered with additional selectivity over the closely related 5-ht ( 2b ) receptor . compound from this series are inverse agonist at the human cloned 5-ht ( 2c ) receptor , completely abolishing basal activity in a functional assay . the new series have reduced p450 inhibitory liability compared to a previously described series of 1- ( 3-pyridylcarbamoyl ) indolines ( bromidge et al . j. med . chem . 1998 , 41 , 1598 ) from which they evolved . compound from this series showed excellent oral activity in a rat mcpp hypolocomotion model and in animal model of anxiety . on the basis of their favorable biological profile , 32 ( sb-228357 ) and 40 ( sb-243213 ) have been selected for further evaluation to determine their therapeutic potential for the treatment of cns disorder such a depression and anxiety .;;0.0
44;displacement of biotinylated-ephrin-a1-fc from epha2-fc receptor ( unknown origin ) preincubated for 1 hr followed by biotinylated-ephrin-a1-fc addition measured after 4 hr by elisa;title : δ ( 5 ) -cholenoyl-amino acid a selective and orally available antagonist of the eph-ephrin system . abstract : the eph receptor-ephrin system is an emerging target for the development of novel anti-angiogenic therapy . research program aimed at developing small-molecule antagonist of the eph receptor are still in their initial stage a available compound suffer from pharmacological drawback , limiting their application in vitro and in vivo . in the present work , we report the design , synthesis and evaluation of structure-activity relationship of a class of δ ( 5 ) -cholenoyl-amino acid conjugate a eph-ephrin antagonist . a a major achievement of our exploration , we identified n- ( 3β-hydroxy-δ ( 5 ) -cholen-24-oyl ) -l-tryptophan ( unipr1331 ) a the first small molecule antagonist of the eph-ephrin system effective a an anti-angiogenic agent in endothelial cell , bioavailable in mouse by the oral route and devoid of biological activity on g protein-coupled and nuclear receptor targeted by bile acid derivative .;;-1.0
45;inhibition of outward potassium current ( ikn ) in human t-lymphocyte n-type potassium channel .;title : novel inhibitor of potassium ion channel on human t lymphocyte . abstract : the in vitro biological characterization of a series of 4- ( alkylamino ) -1,4-dihydroquinolines is reported . these compound are novel inhibitor of voltage-activated n-type potassium ion ( k+ ) channel in human t lymphocyte . this series , identified from random screening , wa found to inhibit [ 125i ] charybdotoxin binding to n-type k+ channel with ic50 value ranging from 10 ( -6 ) to 10 ( -8 ) m. these analog also inhibit whole cell n-type k+ current with ic50 value from 10 ( -5 ) to 10 ( -7 ) m. the preparation of a series of new 4- ( alkylamino ) -1,4-dihydroquinolines is described . structure-activity relationship are discussed . naphthyl analog 7c , the best compound prepared , exhibited > 100-fold selectivity for inhibition of [ 125i ] charybdotoxin binding to n-type k+ channel compared with inhibition of [ 3h ] dofetilide binding to cardiac k+ channel . these compound represent a potent and selective series of n-type k+ channel inhibitor that have the potential for further development a anti-inflammatory agent .;;-1.0
46;thermal shift assay . domain start/stop : l14-q143;thermal shift assay . domain start/stop : l14-q143;;0.0
47;inhibition of human aldh1a3 assessed a nadh formation using propionaldehyde a substrate by spectrophotometery;title : development of 2,5-dihydro-4h-pyrazolo [ 3,4-d ] pyrimidin-4-one inhibitor of aldehyde dehydrogenase 1a ( aldh1a ) a potential adjunct to ovarian cancer chemotherapy . abstract : there is strong evidence that inhibition of one or more aldehyde dehydrogenase 1a ( aldh1a ) isoforms may be beneficial in chemotherapy-resistant ovarian cancer and other tumor type . while many previous effort have focused on development of aldh1a1 selective inhibitor , the most deadly ovarian cancer subtype , high-grade serous ( hgsoc ) , exhibit elevated expression of aldh1a3 . herein , we report continued development of pan-aldh1a inhibitor to ass whether broad spectrum aldh1a inhibition is an effective adjunct to chemotherapy in this critical tumor subtype . optimization of the cm39 scaffold , aided by metabolite id and several new aldh1a1 crystal structure , led to improved biochemical potency , improved cellular aldh inhibition in hgsoc cell line , and substantial improvement in microsomal stability culminating in orally bioavailable compound . we demonstrate that two compound 68 and 69 are able to synergize with chemotherapy in a resistant cell line and patient-derived hgsoc tumor spheroid , indicating their suitability for future in vivo proof of concept experiment .;;-1.0
48;inhibition of pdgfr-beta ( unknown origin );title : design , synthesis , and biological evaluation of novel 3-pyrrolo [ b ] cyclohexylene-2-dihydroindolinone derivative a potent receptor tyrosine kinase inhibitor . abstract : a novel series of 3-pyrrolo [ b ] cyclohexylene-2-dihydroindolinone derivative targeting vegfr-2 , pdgfr-β and c-kit kinase were designed and synthesized . the molecular design wa based on the sar feature of indolin-2-ones a kinase inhibitor . sar study of the series allowed u to identify compound possessing more potent inhibitory activity against the three kinase than sunitinb with ic50 value in the low nanomolar range in vitro . additionally , some compound also showed favorable antiproliferative activity against a panel of cancer cell line ( bxpc-3 , t24 , bgc , hepg2 and ht29 ) .;;-1.0
49;inhibition of human recombinant renin in phosphate buffer;title : identification of a new biaryl scaffold generating potent renin inhibitor . abstract : the discovery and sar of a series of potent renin inhibitor possessing a novel biaryl scaffold are described herein . molecular modeling revealed that the cyclopropylamide spacer present in 1 can be replaced by a simple , substituted aromatic ring such a a toluene in 2. the resulting compound exhibit subnanomolar renin ic ( 50 ) and good oral bioavailability in rat .;;-1.0
50;inhibition of dihydrofolate reductase of rat liver .;title : synthesis and biological evaluation of nonclassical 2,4-diamino-5-methylpyrido [ 2,3-d ] pyrimidine with novel side chain substituents a potential inhibitor of dihydrofolate reductase . abstract : nine novel 2,4-diamino-5-methyl-6-substituted-pyrido [ 2,3-d ] pyrimidine , 2-10 , were synthesized a potential inhibitor of pneumocystis carinii dihydrofolate reductase ( pcdhfr ) and toxoplasma gondii dihydrofolate reductase ( tgdhfr ) . compound 2-5 were designed a conformationally restricted analogue of trimetrexate ( tmq ) , in which rotation around tau 3 wa constrained by incorporation of the side chain nitrogen a part of an indoline or an indole ring . analogue 6 , which ha an extra atom between the side chain nitrogen and the phenyl ring , ha it nitrogen a part of a tetrahydroisoquinoline ring . analogue 7-9 are epiroprim ( ro 11-8958 ) analogue and contain a pyrrole ring a part of the side chain substitution on the phenyl ring similar to epiroprim . these analogue were designed to investigate the role of the pyrrole substitution on the phenyl ring of 2,4-diamino-5-methyl-6- ( anilinomethyl ) pyrido [ 2,3-d ] pyrimidine . molecular modeling indicated that a pyrrole substituent in the ortho position of the side chain phenyl ring wa most likely to interact with pcdhfr in a manner similar to the pyrrole moiety of epiroprim . analogue 10 , in which a phenyl ring replaced a methoxy group , wa synthesized to determine the contribution of a phenyl ring on selectivity , lipophilicity , and cell penetration . the synthesis of analogue 2-4 wa achieved via reductive amination of 2,4-diamino-5-methyl 6-carboxaldehyde with the appropriately substituted indolines . the indolines were obtained from the corresponding indoles via nacnbh3 reduction . analogue 5-10 were synthesized by nucleophilic displacement of 2,4-diamino-5-methyl-6- ( bromomethyl ) -pyrido [ 2,3-d ] pyrimidine with the 5-methoxyindolyl anion , 6,7-dimethoxytetrahydroisoquinoline , the appropriately substituted pyrroloaniline or 2-methoxy-5-phenylaniline . the pyrroloanilines were synthesized in two step by treating the substituted nitroanilines with 2,5-dimethoxy-tetrahydrofuran to afford the nitropyrrole intermediate , followed by reduction of the nitro group with raney ni . the analogue were more potent than trimethoprim and epiroprim and more selective than tmq and piritrexim against pcdhfr and tgdhfr . compound 5 and 10 had ic50 value of 1 and 0.64 microm , respectively , for the inhibition of the growth of t. gondii cell in culture , and showed excellent culture ic50/enzyme ic50 ratio , which were correlated with their calculated log p value , indicating a direct relationship between calculated lipophilicity and cell penetration .;;-1.0
51;in vitro high binding affinity towards dopamine receptor d2 by the displacement of [ 3h ] quinpirole radioligand in rat striatal membrane;title : new generation dopaminergic agent . 6. structure-activity relationship study of a series of 4- ( aminoethoxy ) indole and 4- ( aminoethoxy ) indolone derivative based on the newly discovered 3-hydroxyphenoxyethylamine d2 template . abstract : a series of 4- ( aminoethoxy ) indoles 7 and a related series of 4- ( aminoethoxy ) indolones 8 were synthesized and evaluated for their affinity for both the high- and low-affinity agonist state ( d2high and d2low , respectively ) of the dopamine ( da ) d2 receptor . the 4-aminoethoxy derivative ( i.e. , 7 and 8 ) were designed a bioisosteric analogue based on the phenol prototype 4. the indolones 8 were observed to have high affinity for the d2high receptor . comparison of their previously reported chroman analogue with the more flexible 4- ( aminoethoxy ) indoles revealed the chroman analogue to be more potent , whereas little loss in d2high affinity wa observed when comparing the 4- ( aminoethoxy ) indolones with their respective chroman analogue . several region of the phenoxyethylamine framework were modified and recognized a potential site to modulate the level of intrinsic activity . a conformational analysis wa performed and a putative bioactive conformation wa proposed which fulfilled the d2 agonist pharmacophore criterion based on the mcdermed model . structure-activity relationship gained from these study have aided in the synthesis of d2 partial agonist of varying intrinsic activity level . these agent should be of therapeutic value in treating disorder resulting from hypo- and hyperdopaminergic activity , without the side effect associated with complete d2 agonism or antagonism .;;1.0
52;inhibition of human recombinant sirt2 at 60 um;title : novel cambinol analog a sirtuin inhibitor : synthesis , biological evaluation , and rationalization of activity . abstract : the tenovins and cambinol are two class of sirtuin inhibitor that exhibit antitumor activity in preclinical model . this report describes modification to the core structure of cambinol , in particular by incorporation of substituents at the n1-position , which lead to increased potency and modified selectivity . these improvement have been rationalized using molecular modeling technique . the expected functional selectivity in cell wa also observed for both a sirt1 and a sirt2 selective analog .;;-1.0
53;inhibition of human f10a by fluorescence assay;title : structure and property based design of factor xa inhibitor : pyrrolidin-2-ones with biaryl p4 motif . abstract : structure and property based drug design wa exploited in the synthesis of sulfonamidopyrrolidin-2-one-based factor xa ( fxa ) inhibitor , incorporating biaryl p4 group , producing highly potent inhibitor with encouraging oral pharmacokinetic profile and significant but sub-optimal anticoagulant activity .;;-1.0
54;inhibition of hrv protease 3cp ( serotype 14 ) .;title : structure-based design , synthesis , and biological evaluation of irreversible human rhinovirus 3c protease inhibitor . 6. structure-activity study of orally bioavailable , 2-pyridone-containing peptidomimetics . abstract : the structure-based design , chemical synthesis , and biological evaluation of various 2-pyridone-containing human rhinovirus ( hrv ) 3c protease ( 3cp ) inhibitor are described . these compound are comprised of a peptidomimetic binding determinant and a michael acceptor moiety , which form an irreversible covalent adduct with the active site cysteine residue of the 3c enzyme . the 2-pyridone-containing inhibitor typically display improved 3cp inhibition property relative to related peptide-derived molecule along with more favorable antiviral property . the cocrystal structure of one pyridone-derived 3cp inhibitor complexed with hrv-2 3cp is also described along with certain ab initio conformation analysis . optimization of the 2-pyridone-containing compound is shown to provide several highly active 3cp inhibitor ( k ( ob ) / [ i ] > 500,00 m ( -1 ) s ( -1 ) ) that function a potent antirhinoviral agent ( ec ( 50 ) = < 0.05 microm ) against multiple virus serotypes in cell culture . one 2-pyridone-containing 3cp inhibitor is shown to be bioavailable in the dog after oral dosing ( f = 48 % ) .;;-1.0
55;inhibition of human serum bche using butyrylthiocholine iodide a substrate after 10 min measured for every min by ellman 's method;title : design and development of some phenyl benzoxazole derivative a a potent acetylcholinesterase inhibitor with antioxidant property to enhance learning and memory . abstract : based on the gaussian-based quantitative structure-activity relationship ( qsar ) and virtual screening ( v ) process , some promising acetylcholinesterase inhibitor ( acheis ) having antioxidant potential were designed synthesized , characterized , and evaluated for their ability to enhance learning and memory . the synthesized phenyl benzoxazole derivative exhibited significant antioxidant potential and ache inhibitory activity , whereas the antioxidant potential of compound 34 ( 49.6 % ) wa observed significantly better than standard donepezil ( < 10 % ) and parallel to ascorbic acid ( 56.6 % ) . enzyme kinetics study of most potent compound 34 ( ache ic < sub > 50 < /sub > = 0.363 ± 0.017 μm . ki = 0.19 ± 0.03 μm ) revealed the true nature and competitive type of inhibition on ache . the compound 34 wa further assessed for in vivo and ex vivo study and the result showed the significant reversal of cognitive deficit and antioxidant potential at the dose of 5 mg/kg comparable to standard drug donepezil .;;-1.0
56;compound wa tested for the binding affinity towards recombinant nbd2 c-terminal cytotoxic nucleotide-binding domain of mouse p-glycoprotein;title : the flavanolignan silybin and it hemisynthetic derivative , a novel series of potential modulators of p-glycoprotein . abstract : a new series of potential flavonoidic modulators of p-glycoprotein activity ha been prepared . the flavanolignan silybin wa first oxidised to dehydrosilybin and then c-alkylated with either prenyl or geranyl bromide . the resulting isoprenoid dehydrosilybins were shown to display high in vitro affinity for direct binding to p-glycoprotein , which ranged them among the best flavonoid ever tested .;;1.0
57;inhibition of flap in calcimycin-stimulated human whole blood assessed a inhibition of ltb4 synthesis preincubated for 15 min followed by calcimycin stimulation measured after 30 min;title : synthesis , sar , and series evolution of novel oxadiazole-containing 5-lipoxygenase activating protein inhibitor : discovery of 2- [ 4- ( 3- { ( r ) -1- [ 4- ( 2-amino-pyrimidin-5-yl ) -phenyl ] -1-cyclopropyl-ethyl } - [ 1,2,4 ] oxadiazol-5-yl ) -pyrazol-1-yl ] -n , n-dimethyl-acetamide ( bi 665915 ) . abstract : the synthesis , structure-activity relationship ( sar ) , and evolution of a novel series of oxadiazole-containing 5-lipoxygenase-activating protein ( flap ) inhibitor are described . the use of structure-guided drug design technique provided compound that demonstrated excellent flap binding potency ( ic50 < 10 nm ) and potent inhibition of ltb4 synthesis in human whole blood ( ic50 < 100 nm ) . optimization of binding and functional potency , a well a physicochemical property resulted in the identification of compound 69 ( bi 665915 ) that demonstrated an excellent cross-species drug metabolism and pharmacokinetics ( dmpk ) profile and wa predicted to have low human clearance . in addition , 69 wa predicted to have a low risk for potential drug-drug interaction due to it cytochrome p450 3a4 profile . in a murine ex vivo whole blood study , 69 demonstrated a linear dose-exposure relationship and a dose-dependent inhibition of ltb4 production .;;-1.0
59;displacement of [ 3h ] nm binding to human muscarinic acetylcholine receptor m5 using membrane from transfected cho cell;title : identification and characterization of m1 selective muscarinic receptor antagonists1 . abstract : a series of ester of 1,4-disubstituted tetrahydropyridine carboxylic acid ( i ) ha been synthesized and characterized a potential m1 selective muscarinic receptor antagonist . the affinity of these compound for the five human muscarinic receptor subtypes ( hm1-hm5 ) wa determined by the displacement of [ 3h ] -nms binding using membrane from transfected chinese hamster ovarian cell . one of the most potent and selective compound of this series is an analogue of i [ 11 , r1 = ( ch2 ) 5ch3 ] , which ha an ic50 value of 27.3 nm at the m1 receptor and posse 100-fold ( m2 ) , 48-fold ( m3 ) , 74-fold ( m4 ) , and 19-fold ( m5 ) selectivity at the other receptor . thus , this analogue appears to be more selective on the basis of binding than the prototypical m1 antagonist , pirenzepine . functional data , such a the inhibition of carbachol-stimulated phosphatidylinositol hydrolysis , on selected analogue confirmed the muscarinic antagonistic property of this chemical series .;;-1.0
61;inhibition of 4.8 x 10'-7 m human plasmin using z-lys-nitrophenyl ester a substrate assessed a second-order rate inactivation constant incubated up to 1 hr at ph 7.4;title : inactivation of trypsin-like protease by sulfonylation . variation of positively charged group and inhibitor length . abstract : attempt to achieve selective inactivation of serine protease of closely related specificity ( trypsin-like ) by aryl sulfonylation have been extended . nitrophenyl ester of benzenesulfonic acid and phenylmethanesulfonic acid containing various positively charged group have been synthesized and examined a inactivators of trypsin , thrombin , plasmin , plasma kallikrein , and urokinase . example of selective inactivation by isothiouronium derivative were found and attributed to difference among these enzyme in geometry and flexibility of the primary specificity site .;;-1.0
