ID;reference;Identify;Guess;Seek;Assess;Rater1
BC11I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;La période des pharaons;Les pharaons ont vécu il y a longtemps avant Jésus-Christ;Quand est-ce que les pharaons sont-ils apparus;Le premier pharaon a vécu à 3000 avant Jésus-Christ;1
BC11I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;L' or dans les couronnes dentaires;Les couronnes dentaires en or sont plus solides et se casse pas facilement;Pourquoi fait-on des couronnes dentaire en or;On utilise les couronnes dentaires pour restaurer une dent qui a été détruite;0
BC11I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;L'Australie;C'est un pays du Sud;Où se trouve l'Australie;L'Australie et son pays du Sud entouré par les océans pacifiques et indiens;1
BC11I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;L'Olympe;L'Olympe et le château des dieux grecs;Qu'est-ce l'Olympe;L'Olympe donne son nom aux Jeux Olympiques;0
BC11I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Les dieux romains;Il y a plusieurs dieux romains;Quels sont les dieux romains;Il il a 12 du roman comme Vénus la déesse de la beauté Apollo le dieu du soleil;1
BC11I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;Lieu des forêts tropicales;Les forêt tropicale se trouve dans différents endroits du monde;Où se trouve les forêts tropicales du monde;Les forêt tropicale se trouve en Asie Australie en Amérique centrale Amérique du Sud et en Afrique;1
BC4I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;le magma;La température du magma dépasse les 500c;Quelle est la température du magma?;La température du magma atteint les 1000c;1
BC4I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;la capacité de stockage denotre cerveau;Notre cerveau peut stocker plus d' informations    qu'un ordinateur;Quelle est la capacité de stockage de notre cerveau?;Notre cerveau peut stocker plus d'information que 100ordinateur réunis;1
BC4I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;L' Égypte antique;C'est un ancien pays de l'Afrique;Qu'est ce que l' Égypte Antique;L'Égypte antique est une civisilation de l' Afrique du Nord;1
BC4I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;L'or dans les équipement patiaux;?;Pourquoi laure est utile pour fonctionnement des équipements spatiaux;Assimilation Laure permet de bien connecter les composants internes des équipes spatiaux;0
BC4I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;La formation des traces dans les roches;Ces traces se forment automatiquement quand un être vivant meurt;Comment les êtres vivants les styles de traces dans les roches;10h seul une toute petite proportion des organismes peut laisser des traces dans les roches;0
BC4I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;Une mythologie;Une mythologie est un ensemble de contes imaginaires;Qu'est-ce qu'une mythologie;Une mythologie est un ensemble de légendes liés à une civilisation bien précise;1
BC4I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Romulus;Romulus est un roi de Rome;Qui et Romulus mythologie à;Dans la légende Romulus et le premier roi de Rome;1
BC4I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;Les plantes de forêt tropicales;Les forêt tropicale contiennent tout type de plantes;Quelle plante peut-on voir dans les forêts;Les forêt tropicale sont toujours vertes car il pleut tout le temps;0
BC8I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;Les roches sont liquide;Durant l'éruption le volcan fait sortir du magma ;Pourquoi le liquide s' appelle le magma ;Combien de couche contient le noyau;0
BC8I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;Entraînement de la mémoire;Le cerveau est aussi responsable de la fonction attention;Quels sont les exercices à faire pour bien entraîner notre mémoire ?;Notre cerveau peut stocker plus d'informations que plus d'informations que 100 ordinateurs réunis. ;0
BC8I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;La période des pharaons;C'est un ancien pays d'Afrique ;Quand est-ce que les pharaons sont -ils apparus ?;Le premier pharaon a vécu à 3000 av.J-C;0
BC8I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;L' or dans les couronnes dentaires ;Les composantes électroniques doivent être connectés par des pièces d'or;Pourquoi fait on des couronnes dentaires en or?;Les composantes électroniques sont liées avec des fils d'or ;0
BC8I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;La formation des traces dans les roches;C'est un pays du Sud;Comment les vivants laissent-ils des tresses dans les roc;Seul une toute petite proposition des organismes peut laisser des traces dans les roches je sais faire;0
BC8I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;L'histoire antique;l'Olympe et le château des dieux grecs;Qu'est-ce que l ' Olympe;Une mythologie est un ensemble de légendes liés à une civilisation bien précise;0
BC8I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Les dieux romain;Romulus est un roi de Rome;Qui est Romulus;La Méditerranée est une mère internationale;0
BC8I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;Les plantes des forêts tropicales;Les fortes tropicales contiennent toutes les plantes;Quelle plante peut-on voir dans les forêts tropicales;Les forêts tropicales sont toujours vertes car il pleut tout le temps;0
BC6I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;j'ai pas trouver;...;J'AI AUCUNNE IDEÉ;...;0
BC6I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;les autre fonctions du cerveau;en peut entraîner notre mémoire avec différents exercices;Quelle est la capacité de stokage de notre cerveau?;notre cerveau peut stocker plus d'information que 100 ordinateurs réunis;0
BC6I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;L'Egypte antique;c'est un ancien pays de l'Afrique les ;Quand est-ce que les pharaons sont-ils apparus;L'Egypte antique est une ancienne civilisation de l'Afrique du Nord;0
BC6I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;L'or dans les couronnes dentaires;les couronnes dentaires en or sont plus soldes et ne cassent pas facilement;pourquoi fait on des couronnes dentaires en or?;On utilise les couronnes dentaires pour restaurer une dent qui a été détruite;0
BC6I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;la formation des traces dans les roches; C'est une pays du sud;Où se trouve l'Australie?;Les premiers humains sont  apparus il y a 7 millions d'années;0
BC6I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;L'ihistoire antique';L'Olympe est le château des dieux grecs;Qu'est ce que l'Olympe?;L'Olympe donne son nom aux jeux olymiques;0
BC6I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;la mer Méditérranée;La mer Méditérranée entoure l'Europe;Où se trouve la mer Méditérranée?;La Méditérranée est une mer internationale;0
BC6I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;Lieux des fôrets tropicales;Les fôrest tropicales se trouvent dans différents endroits du monde;Où se trouvent les fôrets tropicales du monde?;les fôrets tropicales se trouvent en Asie,Australie en amérique du sud et en afrique;1
BC18I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.; comment le magma explosent si c'est une substance liquide?;La température du magma dépasse les 500℃;comment le magma explosent ?; je n'est pas trouver;1
BC18I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;les autes fonctions du cerveau;le cerveau est aussi res de la fonctionponsable ?;combien de chose pouvons nour retenir;es-que notre cerveau à une limite pour retenir?;0
BC18I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;pourquoi il devait etre conservé dans le meilleur étet;je pense que il croive que si notre corps est mieu protegé il vis plus longtemp;es-que apres la mort ont a une nouvelle vie.;je n'ai pas trouver la réponse a ma question;0
BC3I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;C'est quoi le magma ;Je pense que le magma est de la lave;Pourquoi appel-ton le magma;Je n'ai pas trouvé ;0
BC3I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;Combien y a-t-il de zone dans notre cerveau;Notre cerveau peut réunir beaucoup d'informations en même temps;Quelle est la capacité de stockage de notre cerveau;Je n' ai pas la réponse à ma question ;0
BC3I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;Qu'est-ce que l'Égypte antique;Je pense que les l'Égypte antique est une époque ;Qu'est-ce que l'Égypte antique;Oui;1
BC3I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;couronnes dentaire;Je pense que les couronnes dentaires sont des trucs en plastique que l'on met sur les dents ;C'est quoi les couronnes dentaires ;Oui;1
BC3I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;Les animaux et les végétaux;Je pense que se sont par exemple des mammouths;Quel sont les animaux et les végétaux de la préhistoire;Non je n'ai pas la réponse à ma question ;1
BC3I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;Une mythologie;Je pense que la mythologie Grecque est plein de dieux de l'Antiquité ;C'est quoi la mythologie grecque;Oui;1
BC3I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Romulus;Je pense que Romulus est un roi;Qui est Romulus;Oui;1
BC3I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;La température;Point je pense que la température est très importante;Quelle est la température qui s'élève chaque année ;Oui;1
BC19I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;Les couches de la Terre;C'est le manteau de la Terre ;Qu'est-ce que les couches de la Terre ;C'est le manteau ;0
BC19I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;Combien y a-t-il de zones dans notre cerveau;Il y en a 5;Combien y a-t-il de zones dans notre cerveau;Je ne sais pas c'est où c'est où c'est où;1
BC19I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;Y a-t-il encore des pharaons aujourd'hui ;Non;Y a-t-il encore des pharaons aujourd'hui;Il n'y en a plus;0
BC19I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;Est-ce que l'or est lourd ?;Oui c'est lourd;Est-ce que l'or est lourd;L'or est lourd;0
BC19I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;Les animaux en Australie étaient-ils des wallabies;Sans doute;Les animaux trouvés par les scientifiques étaient-ils wallabies;Très certainement;0
BC19I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;Est-ce que Olympe est une ville;Je pense;Est-ce que Olympe est une ville;Oui, c'est une ville;0
BC19I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Y a-t-il eu plus de dieux grecs ou plus de dieux romains;Il y a eu plus de dieux grecs;Y a-t-il eu plus de dieux grecs en plus de dieux romains;Il y a eu plus de dieux grecs;0
BC19I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;La température de la forêt est élevée à combien degrés;Elle est élevée à 50 degrés;Dans les forêts tropicales à combien de dans les forêts tropicales la température est élevée à combien degrés;Elle est élevée à 50 degrés;0
